"trainer/global_step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MAX","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MAX"
"353","0.05098039284348488","0.05098039284348488","0.05098039284348488","2201","2201","2201"
"354","0","0","0","2202","2202","2202"
"355","0","0","0","2203","2203","2203"
"356","0","0","0","2204","2204","2204"
"357","0","0","0","2205","2205","2205"
"358","0","0","0","2206","2206","2206"
"359","0","0","0","2207","2207","2207"
"360","0.019083969295024872","0.019083969295024872","0.019083969295024872","2208","2208","2208"
"361","0","0","0","2209","2209","2209"
"362","0","0","0","2210","2210","2210"
"363","0","0","0","2365","2365","2365"
"364","0","0","0","2366","2366","2366"
"365","0","0","0","2367","2367","2367"
"366","0.010676156729459763","0.010676156729459763","0.010676156729459763","2368","2368","2368"
"367","0.0731707289814949","0.0731707289814949","0.0731707289814949","2369","2369","2369"
"368","0.010989011265337467","0.010989011265337467","0.010989011265337467","2370","2370","2370"
"369","0","0","0","2371","2371","2371"
"370","0","0","0","2372","2372","2372"
"371","0","0","0","2373","2373","2373"
"372","0","0","0","2374","2374","2374"
"373","0","0","0","2375","2375","2375"
"374","0","0","0","2376","2376","2376"
"375","0","0","0","2377","2377","2377"
